ID	STRING
HMR_0342	[1.0][m02040][c] + [1.0][m02110][c] => [1.0][m01597][c] + [1.0][m01432][c]
HMR_0341	[1.0][m01334][c] + [1.0][m02759][c] + [1.0][m02110][c] <=> [1.0][m01371][c] + [1.0][m01597][c] + [1.0][m01432][c]
HMR_0340	[1.0][m01432][s] => [1.0][m01432][c]
HMR_0349	[1.0][m01334][c] + [1.0][m02759][c] + [1.0][m02390][c] <=> [1.0][m01371][c] + [1.0][m01597][c] + [1.0][m02389][c]
HMR_0348	[1.0][m02389][s] => [1.0][m02389][c]
HMR_8101	[1.0][m01021][c] <=> [1.0][m01021][s]
steroids	[1.0][m00400][c] + [1.0][m00400][r] + [1.0][m00432][r] + [1.0][m00645][c] + [1.0][m00644][c] + [1.0][m00649][l] + [1.0][m00649][r] + [1.0][m00659][c] + [1.0][m00660][c] + [1.0][m00660][r] + [1.0][m00641][c] + [1.0][m00641][m] + [1.0][m00641][p] + [1.0][m00641][r] + [1.0][m00642][c] + [1.0][m00642][m] + [1.0][m00642][p] + [1.0][m00642][r] + [1.0][m00651][c] + [1.0][m00651][m] + [1.0][m00651][p] + [1.0][m00651][r] + [1.0][m00652][c] + [1.0][m00652][m] + [1.0][m00652][p] + [1.0][m00652][r] + [1.0][m00604][c] + [1.0][m00624][c] + [1.0][m00747][r] + [1.0][m00759][c] + [1.0][m00945][c] + [1.0][m00947][c] + [1.0][m00949][c] + [1.0][m00828][r] + [1.0][m00830][c] + [1.0][m00925][c] + [1.0][m00927][c] + [1.0][m01011][c] + [1.0][m01012][c] + [1.0][m00987][c] + [1.0][m00987][m] + [1.0][m00987][p] + [1.0][m00987][r] + [1.0][m00988][c] + [1.0][m01001][c] + [1.0][m01001][m] + [1.0][m01001][p] + [1.0][m01001][r] + [1.0][m01792][r] + [1.0][m01794][r] + [1.0][m02469][c] => [1.0][temp003][x]
HMR_3813	[1.0][m01365][c] + [1.0][m01862][c] <=> [1.0][m01366][c]
HMR_6406	[1.0][m01371][c] + [1.0][m02040][c] + [2.0][m02519][s] + [1.0][m02394][s] => [1.0][m01285][c] + [2.0][m02519][c] + [1.0][m02751][c] + [1.0][m02394][c]
HMR_3811	[1.0][m01371][c] + [1.0][m01370][c] + [1.0][m01588][c] => [1.0][m01334][c] + [1.0][m02759][c] + [1.0][m01366][c]
HMR_3809	[1.0][m02751][m] + [1.0][m01588][m] <=> [1.0][m01420][m] + [1.0][m02658][m]
HMR_0832	[1.0][m02008][l] + [1.0][m02040][l] => [1.0][m02011][l] + [1.0][m01910][l]
HMR_4852	[1.0][m01306][c] + [1.0][m02439][m] <=> [1.0][m01306][m] + [1.0][m02439][c]
HMR_3800	[1.0][m00671][m] + [1.0][m01597][m] + [1.0][m02552][m] => [1.0][m01596][m] + [1.0][m02039][m] + [1.0][m02553][m] + [1.0][m02774][m]
HMR_3802	[1.0][m01306][m] + [1.0][m02039][m] + [1.0][m02553][m] + [1.0][m02578][m] <=> [1.0][m02040][m] + [1.0][m02552][m] + [1.0][m01974][m]
HMR_3804	[1.0][m01306][m] + [1.0][m02039][m] + [1.0][m02555][m] + [1.0][m02578][m] <=> [1.0][m02040][m] + [1.0][m02554][m] + [1.0][m01974][m]
HMR_3807	[1.0][m01306][m] + [1.0][m02658][m] <=> [1.0][m02374][m] + [1.0][m01974][m]
HMR_3806	[1.0][m02039][m] + [1.0][m02553][m] + [1.0][m01974][m] <=> [1.0][m02040][m] + [1.0][m02374][m] + [1.0][m02552][m]
HMR_5077	[1.0][m01307][s] => [1.0][m01307][c]
HMR_4850	[1.0][m01755][m] => [1.0][m01755][c]
HMR_4020	[1.0][m01285][c] + [1.0][m01948][c] <=> [1.0][m01371][c] + [1.0][m02016][c]
HMR_0837	[1.0][m01592][c] + [1.0][m02008][c] => [1.0][m01590][c] + [1.0][m01941][c]
HMR_0836	[1.0][m02013][l] + [1.0][m02040][l] => [1.0][m02012][l] + [1.0][m02015][l] + [1.0][m02525][l]
HMR_4856	[1.0][m01968][c] <=> [1.0][m01968][r]
HMR_4468	[1.0][m02896][c] <=> [1.0][m02896][p]
HMR_4469	[1.0][m02154][c] <=> [1.0][m02154][p]
HMR_4855	[1.0][m01862][c] + [1.0][m02439][m] <=> [1.0][m01862][m] + [1.0][m02439][c]
HMR_4460	[1.0][m01371][m] + [1.0][m02772][m] <=> [1.0][m02759][m] + [1.0][m02775][m]
HMR_4461	[1.0][m00157][m] + [1.0][m02552][m] <=> [1.0][m02039][m] + [1.0][m02553][m] + [1.0][m01253][m]
HMR_4466	[1.0][m02154][c] => [1.0][m00646][c]
HMR_4467	[1.0][m02819][p] + [1.0][m02896][p] => [1.0][m01307][p] + [1.0][m02154][p]
HMR_4464	[1.0][m01253][m] => [1.0][m01596][m] + [1.0][m01256][m]
HMR_4465	[1.0][m02039][c] + [1.0][m02555][c] + [1.0][m02154][c] => [1.0][m02554][c] + [1.0][m01982][c]
HMR_6928	[1.0][m02926][c] <=> [1.0][m02926][p]
HMR_1362	[1.0][m00302][c] + [1.0][m02630][c] + [1.0][m01368][c] => [1.0][m01222][c] + [1.0][m02489][c]
HMR_1363	[1.0][m01221][c] + [1.0][m02040][c] <=> [1.0][m01222][c] + [4.0][m02039][c]
HMR_0353	[1.0][m00108][c] + [1.0][m01334][c] + [1.0][m02759][c] <=> [1.0][m01371][c] + [1.0][m01597][c] + [1.0][m02939][c]
HMR_6880	[1.0][m00249][c] + [1.0][m01134][c] <=> [1.0][m00723][c] + [1.0][m01043][c]
